Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints,EWAvgPoints
SF/PF,Jae Crowder (27125929),Jae Crowder,27125929,SF/PF/F/UTIL,4300,TOR@MIL 03/19/2023 08:00PM ET,MIL,15.32,O,15.32,15
SF,Matisse Thybulle (27125926),Matisse Thybulle,27125926,SF/F/UTIL,4300,LAC@POR 03/19/2023 09:00PM ET,POR,10.67,L,10.67,15
SG/SF,Jae'Sean Tate (27125937),Jae'Sean Tate,27125937,SG/SF/F/G/UTIL,4200,NOP@HOU 03/19/2023 07:00PM ET,HOU,19.44,L,21.384,16.5
SG/SF,Max Strus (27125946),Max Strus,27125946,SG/SF/F/G/UTIL,4200,MIA@DET 03/19/2023 06:00PM ET,MIA,21.66,L,21.66,15
PG/SG,Josh Richardson (27125942),Josh Richardson,27125942,PG/SG/G/UTIL,4200,NOP@HOU 03/19/2023 07:00PM ET,NOP,22.18,L,22.18,15
SG,Alec Burks (27125951),Alec Burks,27125951,SG/G/UTIL,4100,MIA@DET 03/19/2023 06:00PM ET,DET,22.22,O,22.22,15
PF/C,Rui Hachimura (27125954),Rui Hachimura,27125954,PF/C/F/UTIL,4100,ORL@LAL 03/19/2023 09:30PM ET,LAL,20,L,20,15
PG/SG,Victor Oladipo (27125958),Victor Oladipo,27125958,PG/SG/G/UTIL,4100,MIA@DET 03/19/2023 06:00PM ET,MIA,22.26,L,24.486,16.5
SF/PF,Troy Brown Jr. (27125965),Troy Brown Jr.,27125965,SF/PF/F/UTIL,4000,ORL@LAL 03/19/2023 09:30PM ET,LAL,16.42,L,16.42,15
SG,Gary Harris (27125962),Gary Harris,27125962,SG/G/UTIL,4000,ORL@LAL 03/19/2023 09:30PM ET,ORL,15.76,L,15.76,15
PG/SG,R.J. Hampton (27125972),R.J. Hampton,27125972,PG/SG/G/UTIL,3900,MIA@DET 03/19/2023 06:00PM ET,DET,11.5,L,11.5,15
PF,Kevin Love (27125969),Kevin Love,27125969,PF/F/UTIL,3900,MIA@DET 03/19/2023 06:00PM ET,MIA,20.63,L,20.63,15
C,Moritz Wagner (27125976),Moritz Wagner,27125976,C/UTIL,3900,ORL@LAL 03/19/2023 09:30PM ET,ORL,21.11,L,21.11,15
PG/SG,Terance Mann (27125978),Terance Mann,27125978,PG/SG/G/UTIL,3800,LAC@POR 03/19/2023 09:00PM ET,LAC,18.43,L,18.43,15
SF/PF,Naji Marshall (27125982),Naji Marshall,27125982,SF/PF/F/UTIL,3800,NOP@HOU 03/19/2023 07:00PM ET,NOP,19.72,L,19.72,15
PF/C,Nicolas Batum (27125989),Nicolas Batum,27125989,PF/C/F/UTIL,3700,LAC@POR 03/19/2023 09:00PM ET,LAC,16.23,L,16.23,15
PG,Jevon Carter (27125986),Jevon Carter,27125986,PG/G/UTIL,3700,TOR@MIL 03/19/2023 08:00PM ET,MIL,17.67,L,17.67,15
PF,Marcus Morris Sr. (27125997),Marcus Morris Sr.,27125997,PF/F/UTIL,3600,LAC@POR 03/19/2023 09:00PM ET,LAC,21.7,L,21.7,15
PF/C,Larry Nance Jr. (27125993),Larry Nance Jr.,27125993,PF/C/F/UTIL,3600,NOP@HOU 03/19/2023 07:00PM ET,NOP,20.34,L,20.34,15
