Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Damian Jones (26681618),Damian Jones,26681618,C/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,UTA,7.12
SG/SF,Ochai Agbaji (26681620),Ochai Agbaji,26681620,SG/SF/F/G/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,UTA,7.54
SG,Johnny Juzang (26681625),Johnny Juzang,26681625,SG/G/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,UTA,0
PG,Leandro Bolmaro (26681628),Leandro Bolmaro,26681628,PG/G/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,UTA,2.12
C,Udoka Azubuike (26681631),Udoka Azubuike,26681631,C/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,UTA,5.16
C,Micah Potter (26681633),Micah Potter,26681633,C/UTIL,3000,UTA@IND 02/13/2023 07:00PM ET,UTA,3.58
SG,Will Barton (26681312),Will Barton,26681312,SG/G/UTIL,3000,WAS@GSW 02/13/2023 10:00PM ET,WAS,16.18
PF/C,Isaiah Todd (26681328),Isaiah Todd,26681328,PF/C/F/UTIL,3000,WAS@GSW 02/13/2023 10:00PM ET,WAS,0.5
SG,Moses Moody (26681451),Moses Moody,26681451,SG/G/UTIL,3000,WAS@GSW 02/13/2023 10:00PM ET,GSW,9.44
PF,Anthony Lamb (26681454),Anthony Lamb,26681454,PF/F/UTIL,3000,WAS@GSW 02/13/2023 10:00PM ET,GSW,15.52
PF,Patrick Baldwin Jr. (26681457),Patrick Baldwin Jr.,26681457,PF/F/UTIL,3000,WAS@GSW 02/13/2023 10:00PM ET,GSW,8.82
SF,Andre Iguodala (26681460),Andre Iguodala,26681460,SF/F/UTIL,3000,WAS@GSW 02/13/2023 10:00PM ET,GSW,8.42
PG,Ryan Rollins (26681463),Ryan Rollins,26681463,PG/G/UTIL,3000,WAS@GSW 02/13/2023 10:00PM ET,GSW,3.71
C,Taj Gibson (26681660),Taj Gibson,26681660,C/UTIL,3000,WAS@GSW 02/13/2023 10:00PM ET,WAS,8.49
SF/PF,Anthony Gill (26681662),Anthony Gill,26681662,SF/PF/F/UTIL,3000,WAS@GSW 02/13/2023 10:00PM ET,WAS,6.17
PG/SG,Quenton Jackson (26681666),Quenton Jackson,26681666,PG/SG/G/UTIL,3000,WAS@GSW 02/13/2023 10:00PM ET,WAS,1.25
PG/SG,Jordan Goodwin (26681670),Jordan Goodwin,26681670,PG/SG/G/UTIL,3000,WAS@GSW 02/13/2023 10:00PM ET,WAS,17.04
SG/SF,Johnny Davis (26681674),Johnny Davis,26681674,SG/SF/F/G/UTIL,3000,WAS@GSW 02/13/2023 10:00PM ET,WAS,2.42
C,Vernon Carey Jr. (26681679),Vernon Carey Jr.,26681679,C/UTIL,3000,WAS@GSW 02/13/2023 10:00PM ET,WAS,2.4
