Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,WAvgPoints
C,Daniel Vellojin (27412863),Daniel Vellojin,27412863,C,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
OF,Jay Allen (27412881),Jay Allen,27412881,OF,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
3B,Nick Northcut (27412882),Nick Northcut,27412882,3B,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
C,Jhonny Pereda (27412884),Jhonny Pereda,27412884,C,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
3B/OF,Nick Senzel (27412910),Nick Senzel,27412910,3B/OF,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
OF,Magneuris Sierra (27412923),Magneuris Sierra,27412923,OF,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
OF,Michael Siani (27412933),Michael Siani,27412933,OF,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
2B/3B,Hoy Park (27412934),Hoy Park,27412934,2B/3B,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
OF,Nick Plummer (27412938),Nick Plummer,27412938,OF,2000,CIN@ATL 04/10/2023 07:20PM ET,CIN,0,0
2B,Yolmer Sanchez (27412939),Yolmer Sanchez,27412939,2B,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
3B/SS,Joe Dunand (27412954),Joe Dunand,27412954,3B/SS,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
C,Chadwick Tromp (27412960),Chadwick Tromp,27412960,C,2000,CIN@ATL 04/10/2023 07:20PM ET,ATL,0,0
C/OF,Cooper Hummel (27412577),Cooper Hummel,27412577,C/OF,2000,SEA@CHC 04/10/2023 07:40PM ET,SEA,2.8,2.8
2B,Kaden Polcovich (27412681),Kaden Polcovich,27412681,2B,2000,SEA@CHC 04/10/2023 07:40PM ET,SEA,0,0
OF,Cole Roederer (27412695),Cole Roederer,27412695,OF,2000,SEA@CHC 04/10/2023 07:40PM ET,CHC,0,0
OF,Kevin Alcantara (27412697),Kevin Alcantara,27412697,OF,2000,SEA@CHC 04/10/2023 07:40PM ET,CHC,0,0
OF,Gabriel Gonzalez (27412702),Gabriel Gonzalez,27412702,OF,2000,SEA@CHC 04/10/2023 07:40PM ET,SEA,0,0
1B,Evan White (27412705),Evan White,27412705,1B,2000,SEA@CHC 04/10/2023 07:40PM ET,SEA,0,0
OF,Jack Larsen (27412714),Jack Larsen,27412714,OF,2000,SEA@CHC 04/10/2023 07:40PM ET,SEA,0,0
C,Harry Ford (27412722),Harry Ford,27412722,C,2000,SEA@CHC 04/10/2023 07:40PM ET,SEA,0,0
