Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,WAvgPoints
PG,Cory Joseph (27089281),Cory Joseph,27089281,PG/G/UTIL,4900,DEN@DET 03/16/2023 07:00PM ET,DET,14.46,L,18.798
PF,Aaron Nesmith (27089284),Aaron Nesmith,27089284,PF/F/UTIL,4900,IND@MIL 03/16/2023 08:00PM ET,IND,18.94,L,20.834
PG/SG,Jalen Suggs (27089287),Jalen Suggs,27089287,PG/SG/G/UTIL,4900,ORL@PHX 03/16/2023 10:00PM ET,ORL,21.6,L,25.92
PF,Dorian Finney-Smith (27089303),Dorian Finney-Smith,27089303,PF/F/UTIL,4800,SAC@BKN 03/16/2023 07:30PM ET,BKN,20.1,L,20.1
SG,Kentavious Caldwell-Pope (27089295),Kentavious Caldwell-Pope,27089295,SG/G/UTIL,4800,DEN@DET 03/16/2023 07:00PM ET,DEN,22.56,L,27.072
PF/C,Isaiah Stewart (27089291),Isaiah Stewart,27089291,PF/C/F/UTIL,4800,DEN@DET 03/16/2023 07:00PM ET,DET,26.06,O,26.06
SG/SF,Chris Duarte (27089298),Chris Duarte,27089298,SG/SF/F/G/UTIL,4800,IND@MIL 03/16/2023 08:00PM ET,IND,14.97,O,14.97
SF/PF,Jordan Nwora (27089306),Jordan Nwora,27089306,SF/PF/F/UTIL,4700,IND@MIL 03/16/2023 08:00PM ET,IND,14.61,L,21.915
SG/SF,Bruce Brown (27089310),Bruce Brown,27089310,SG/SF/F/G/UTIL,4600,DEN@DET 03/16/2023 07:00PM ET,DEN,24.31,L,29.172
SG,Grayson Allen (27089322),Grayson Allen,27089322,SG/G/UTIL,4500,IND@MIL 03/16/2023 08:00PM ET,MIL,20.91,O,20.91
PG/SG,Landry Shamet (27089318),Landry Shamet,27089318,PG/SG/G/UTIL,4500,ORL@PHX 03/16/2023 10:00PM ET,PHX,17.08,O,17.08
SG,Malik Monk (27089315),Malik Monk,27089315,SG/G/UTIL,4500,SAC@BKN 03/16/2023 07:30PM ET,SAC,24.45,L,24.45
SG,Cam Thomas (27089325),Cam Thomas,27089325,SG/G/UTIL,4400,SAC@BKN 03/16/2023 07:30PM ET,BKN,15.83,L,15.83
PG/SG,R.J. Hampton (27089335),R.J. Hampton,27089335,PG/SG/G/UTIL,4400,DEN@DET 03/16/2023 07:00PM ET,DET,11.7,L,11.7
