Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
PF,Patrick Baldwin Jr. (26728409),Patrick Baldwin Jr.,26728409,PF/F/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,GSW,8.27,P
SF,Andre Iguodala (26728412),Andre Iguodala,26728412,SF/F/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,GSW,8.42,Q
PG,Gary Payton II (26728415),Gary Payton II,26728415,PG/G/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,GSW,11.68,O
PG,Ryan Rollins (26728418),Ryan Rollins,26728418,PG/G/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,GSW,3.71,O
C,Richaun Holmes (26728306),Richaun Holmes,26728306,C/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,6.98,P
PG,Matthew Dellavedova (26728308),Matthew Dellavedova,26728308,PG/G/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,4.31,P
C,Alex Len (26728311),Alex Len,26728311,C/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,2.86,P
PG/SG,Keon Ellis (26728313),Keon Ellis,26728313,PG/SG/G/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,4.47,P
SF/PF,Kessler Edwards (26728317),Kessler Edwards,26728317,SF/PF/F/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,3.12,P
C,Neemias Queta (26728321),Neemias Queta,26728321,C/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,6.56,P
C,Chimezie Metu (26728323),Chimezie Metu,26728323,C/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,10.78,P
SF/PF,KZ Okpala (26728325),KZ Okpala,26728325,SF/PF/F/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,3.89,Q
PG,Ryan Arcidiacono (26728487),Ryan Arcidiacono,26728487,PG/G/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,POR,1.12,P
PF/C,Jabari Walker (26728490),Jabari Walker,26728490,PF/C/F/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,POR,6.62,P
C,John Butler (26728494),John Butler,26728494,C/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,POR,1.25,P
SF/PF,Kevin Knox II (26728496),Kevin Knox II,26728496,SF/PF/F/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,POR,10.45,P
SG/SF,Keon Johnson (26728500),Keon Johnson,26728500,SG/SF/F/G/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,POR,7.98,P
C,Ibou Badji (26728505),Ibou Badji,26728505,C/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,POR,0,Q
SF,Justise Winslow (26728507),Justise Winslow,26728507,SF/F/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,POR,20.46,O
